CASEID	Q1	Q3B	Q4	Q6_COMP	Q66A	Q66B	Q66C	Q66D	Q66E	Q66F	Q66G	Q66H	Q66I	Q66J	Q66K	Q68A	Q68B	Q68C	Q68D	Q68E	Q68F	Q68G	Q68H	Q68I	Q68J	Q68K
5986	2	10	5	4	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
10884	2	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
163	1	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3168	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
3290	1	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4785	1	10	5	2	1	2	1	1	5	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5214	1	10	5	6	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11054	1	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9111	2	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10125	2	10	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12578	2	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5671	1	10	5	2	2	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8726	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4522	1	10	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12054	1	10	5	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
4119	2	11	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7135	2	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11429	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4986	1	10	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1982	1	10	5	7	1	1	1	2	3	2	2	1	1	3	4	1	2	4	3	2	1	3	4	3	5	5
663	2	10	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1165	1	10	5	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
4321	1	11	5	7	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1
7777	1	10	5	7	5	3	1	3	1	5	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
8596	1	10	5	7	1	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11126	1	11	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1419	2	10	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2336	2	11	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2480	2	11	5	7	1	2	1	3	4	5	1	1	1	1	1	2	3	1	1	1	1	1	1	1	4	5
4031	2	11	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
